Timestamp,Please write your name here.,Please write your Twitter ID or Youtube username here.,Please upload your message cards here (if you have one).,"If you wanna, you can write your additional message here that's not on the card (200 chars. max)",a,Please upload your message cards here.／送りたいメッセージカードは、アップロードしてください！,Please upload your message cards here.／送りたいメッセージカードは、アップロードしてください！
6/13/2026 4:20:38,I don't know (livingbreathingperson),maybenot09,img\responses\eriscard - Maybe not.png,We need to put ERIS SUZUKAMI in FORTNITE and make her DANCE,eriscard - Maybe not.png,,
6/13/2026 10:29:06,Bash,BashDignox,img\responses\Eris bday card - Bash ver - Thomas Adamson.png,,Eris bday card - Bash ver - Thomas Adamson.png,,
6/14/2026 0:28:17,BigCow(TakoYucky),,img\responses\image - Meep Meep.png,,image - Meep Meep.png,,
6/15/2026 20:04:35,KnightWalker,,img\responses\eriscardknightwalker - D Z (ZethSet).png,Congrats fih but lemme say... Im really sorry about my handwriting lol!!,eriscardknightwalker - D Z (ZethSet).png,,
6/16/2026,NormanzCraftz,,img\responses\ERIS_BD_CARD_FR.jpg,,ERIS_BD_CARD_FR.jpg,,
6/16/2026 15:33:33,Stugi,sturis_e,img\responses\stugi letter - stugi.png,"Eris Suzukami 🎣☁️ VSPO! EN How have you been lately?Eris Suzukami 🎣☁️ VSPO! EN Hello🙁Eris Suzukami 🎣☁️ VSPO! EN Are you there?😭
I’m looking for a stranger to listen to my story. How about a video chat?",stugi letter - stugi.png,,
6/25/2026 2:36:39,bigeecheeese,bigeecheeese,img\responses\eriscard - cheese.jpg,Your British accent still keeps me up at night ;-;,eriscard - Cheese.jpg,,
6/30/2026 3:28:17,GVMesa ,gvmesa,img\responses\1000070249 - Mesa.jpg,Sorry for the subpar doodle :(,1000070249 - Mesa.jpg,,
7/2/2026 8:53:10,Bakamegane,ばかめがね,img\responses\IMG_0054 - ばかめがね_smart_.PNG,You are the driving force in my life! I love your smile!,IMG_0054 - ばかめがね_smart_.PNG,,
7/3/2026 0:02:51,Cryst,@recrystx @art_cryst,img\responses\Happy ErisDay! - cryst - ReCrystX.png,"May all the beauty be blessed~

Happy Birthday Eris!!",Happy ErisDay! - cryst - ReCrystX.png,,
7/3/2026 2:53:39,Soyki,@Soykiii,img\responses\Soyki Birthday Card.gif,,Soyki Birthday Card,,
7/3/2026 8:17:41,Resonate,@ItsR3sonate,img\responses\eriscard - R3sonate.jpg,FihLove <3,eriscard - R3sonate.jpg,,
7/3/2026 10:18:16,LemnT,LemnT,img\responses\eriscardlemnt - Lemn T.png,,eriscardlemnt - Lemn T.png,,
7/3/2026 12:26:15,Kiri,KiriYukino,img\responses\hbd - Kiririn.png,I can't believe that clip lives rent free inside your head im crine,hbd - Kiririn.png,,
7/3/2026 13:21:08,Joe,@lekingjoe,img\responses\Joe-eriscard - bukan kingjo.png,"i wish you to become healthy, happier, and everything that's the best for you <3",Joe-eriscard - bukan kingjo.png,,
7/3/2026 15:34:41,Yuyu (AnUnknown),,img\responses\IMG_5782 - An Unknown.jpeg,"I genuinely always enjoy your streams so muchhh, I laugh out loud a lot when I watch your streams and thats something thats rare for me usually, and I'm really really not a chatter type of viewer but sometimes I just can’t hold back when I watch your streams >///< Thanks a lot for always making my day brighter :3c",IMG_5782 - An Unknown.jpeg,,
7/5/2026 8:13:41,kris,@kris_kross_,img\responses\hbd eris - kris kross.jpg,:3c,hbd eris - kris kross.jpg,,
7/5/2026 8:33:54,Arz,arzexez,img\responses\Arzeriscard - Arzex Ez Channeru.png,lov from indonesia  *ps im not good at english sorry. once again happy birthday Eris!!!,Arzeriscard - Arzex Ez Channeru.png,,
7/7/2026 12:16:29,After,@After_アフター,img\responses\after eris card final - tobidachi.png,,after eris card final - tobidachi.png,,
7/5/2026 16:16:58,jonbozz,,img\responses\eriscard jonbozz - Jon Bozzonetti.png,,eriscard jonbozz - Jon Bozzonetti.png,,
7/6/2026 3:46:52,CrypticKing,cryptick1ng,img\responses\Cryptic’s ErisCard-1 - Cryptic.jpg,"Your streams brighten my day Eris! I wish you happy days ahead, stay a strong, healthy fih. Another year older, another year wiser (hopefully) and another year making the world brighter!",Cryptic’s ErisCard-1 - Cryptic.jpg,,
7/6/2026 18:56:06,a loose pile of frogs,,img\responses\eriscardfrogs - Dylan M.png,"dunno if this is meant for eris or not, but i am using this to thank you for organizing this for her birthday :3 yippee!!",eriscardfrogs - Dylan M.png,,
7/7/2026 2:41:38,wewo,lerorin,img\responses\wewo - eriscard - wewo.png,uwu,wewo - eriscard - wewo.png,,
7/7/2026 11:53:05,Dai'a Zohli,,img\responses\eriscard_daiazohli - Dai_a Zohli.png,,eriscard_daiazohli - Dai'a Zohli.png,,
7/8/2026 12:15:16,Elmolletaso,Elmolletaso,img\responses\eriscardtasso - taso tobi.png,Hiiii lob u,eriscardtasso - taso tobi.png,,
7/8/2026 15:19:01,Dom,JustDom197,img\responses\eriscard by Dom 20260709 - JustDom.png,,eriscard by Dom 20260709 - JustDom.png,,
7/8/2026 22:58:00,Seasalted_Icecream,Seasalted_Icecream,img\responses\IMG_0386 - Andy.jpeg,#FihLove,IMG_0386 - Andy.jpeg,,
7/9/2026 5:50:53,Zavier,ZavBlue,img\responses\Untitled1 - ZavBlue.png,i handwrote this on my phone and only thought to turn it into landscape mode on the last couple lines... (also forgive my bad handwriting too please orz),Untitled1 - ZavBlue.png,,
7/9/2026 22:29:41,Ben,bwnz1x,img\responses\eriscard - Ben.png,,eriscard - Ben.png,,
7/10/2026 4:20:40,Seikatsu,@seikatsu_101(Twitter)/@seikatsu101(YT),img\responses\eriscard sei - Seikatsu.png,"Since you're older now should we start a wheelchair fund for u, pretty good investment in my opinon OwO",eriscard sei - Seikatsu.png,,
7/10/2026 13:11:11,Qtoc,Qtoc,img\responses\eriscard(1) - Takumi.png,"If you ever feel like you are alone, just look at the tobis and knows we will be here with you. 😁 ",eriscard(1) - Takumi.png,,
7/10/2026 16:46:26,McDohl,hcdohl (both twitter and youtube),img\responses\eriscard bday - McSeal Seally.png,Hope one day there will be mahjong streams,eriscard bday - McSeal Seally.png,,
7/10/2026 18:06:49,willy,@willy9078 yt @zaizai_osu twitter,img\responses\5A006162-B940-4CD2-8FA0-DD07BBFC6A3A - William Sok.jpeg,Looking forward to the next mukbang stream! Watch out joey chestnut @decaten youre nominated next,5A006162-B940-4CD2-8FA0-DD07BBFC6A3A - William Sok.jpeg,,
7/10/2026 19:03:55,tec7337,,img\responses\ErisBday26 - Nebonese.jpg,,ErisBday26 - Nebonese.jpg,,
